Genre,Length,Theme,Title
Alamat,Long,Kabayanihan,Ang Alamat ng Tipaklong
Alamat,Long,Matulungin,Ang Alamat ng Alitaptap
Alamat,Short,Pagkakaibigan,Ang Alamat ng Gagamba
Alamat,Short,Kasipagan,Ang Alamat ng Kabayo
Alamat,Short,Katapatan,Ang Alamat ng Tuko
Alamat,Short,Matulungin,Ang Alamat ng Langgam
Alamat,Short,Kabayanihan,Ang Alamat ng Payong
Alamat,Short,Pagkakaibigan,Ang Alamat ng Bituin
Alamat,Short,Kasipagan,Ang Alamat ng Palaka
Alamat,Short,Kabayanihan,Ang Alamat ng Bulaklak
Alamat,Long,Pagkakaibigan,Ang Alamat ng Kandila
Alamat,Short,Matulungin,Ang Alamat ng Tambol
Alamat,Short,Katapatan,Ang Alamat ng Papel na Bangka
Alamat,Short,Kasipagan,Ang Alamat ng Manggang Hilaw
Alamat,Short,Matulungin,Ang Alamat ng Kulay ng Bahaghari
Alamat,Short,Kabayanihan,Ang Alamat ng Ulan ng Kendi
Alamat,Short,Pagkakaibigan,Ang Alamat ng Talismanong Kawayan
Alamat,Short,Katapatan,Ang Alamat ng Luhang Perlas
Alamat,Short,Kasipagan,Ang Alamat ng Gintong Himpapawid
Alamat,Short,Kabayanihan,Ang Alamat ng Pagong na Ginto
Alamat,Short,Matulungin,Ang Alamat ng Bulaklak na Parol
Alamat,Short,Pagkakaibigan,Ang Alamat ng Puting Ahas
Alamat,Short,Katapatan,Ang Alamat ng Ulap na Yakap
Alamat,Short,Kasipagan,Ang Alamat ng Hatinggabi
Alamat,Short,Matulungin,Ang Alamat ng Asin
Alamat,Short,Kabayanihan,Ang Alamat ng Kulay Rosas
Alamat,Short,Pagkakaibigan,Ang Alamat ng Malaking Buwan
Alamat,Short,Katapatan,Ang Alamat ng Bakunawa
Alamat,Short,Kasipagan,Ang Alamat ng Lasonang Bulaklak
Alamat,Short,Katapatan,Ang Alamat ng Araw at Hangin
Alamat,Long,Kabayanihan,"Ang Alamat ng Bahagharing Bato"
Alamat,Long,Matulungin,Ang Alamat ng Puno ng Dalandan
Pabula,Short,Pagkakaibigan,Ang Masipag na Langgam at ang Mayabang na Tipaklong
Pabula,Short,Kasipagan,Ang Mabait na Kabayo at ang Sakim na Aso
Pabula,Short,Katapatan,Ang Matsing at ang Aso
Pabula,Short,Matulungin,Ang Mabait na Bibe at ang Pabigat na Palaka
Pabula,Short,Kabayanihan,Ang Masipag na Langgam at ang Mayabang na Tipaklong
Pabula,Short,Pagkakaibigan,Ang Mabait na Kabayo at ang Sakim na Aso
Pabula,Short,Kasipagan,Ang Matsing at ang Aso
Pabula,Short,Matulungin,Ang Mabait na Bibe at ang Pabigat na Palaka
Pabula,Long,Kabayanihan,Ang Gutom na Lobo at ang Mabuting Kambing
Pabula,Short,Pagkakaibigan,Ang Mabait na Kalapati at ang Mapagkunwaring Pusa
Pabula,Short,Kasipagan,Ang Unggoy at ang Palaka
Pabula,Short,Kabayanihan,Ang Tikling at ang Mayabang na Kalapati
Pabula,Long,Pagkakaibigan,Ang Maingat na Usa at ang Tuso na Tigre
Pabula,Short,Matulungin,Ang Mabait na Butiki at ang Mainggitin na Gagamba
Pabula,Short,Katapatan,Ang Mayabang na Bibe at ang Mabuting Isda
Pabula,Short,Kasipagan,Ang Mapanlinlang na Aso at ang Mabuting Kuneho
Pabula,Long,Matulungin,Ang Mapagmataas na Kabayo at ang Mapagpakumbabang Kalabaw
Pabula,Short,Kabayanihan,Ang Maingat na Pagong at ang Pabiglang Usa
Pabula,Short,Pagkakaibigan,Ang Mapagmalaking Palaka at ang Tahimik na Alitaptap
Pabula,Short,Katapatan,Ang Tuso na Soro at ang Masipag na Langgam
Pabula,Long,Kasipagan,Ang Matapang na Pagong at ang Tuso na Kalabaw
Pabula,Short,Kabayanihan,Ang Matalas na Matsing at ang Mapagmataas na Kalapati
Pabula,Short,Matulungin,Ang Mabait na Daga at ang Mapanlinlang na Pusa
Pabula,Short,Pagkakaibigan,Ang Mahinahon na Palaka at ang Maingay na Gansa
Pabula,Short,Katapatan,Ang Masikap na Sisiw at ang Tamad na Tandang
Pabula,Short,Kasipagan,Ang Maingat na Kuneho at ang Mapagmataas na Loro
Pabula,Short,Matulungin,Ang Mabuting Uwak at ang Ganid na Tupa
Pabula,Short,Kabayanihan,Ang Mapagpasensyang Lamok at ang Nagmamadaling Langaw
Pabula,Short,Pagkakaibigan,Ang Tahimik na Palaka at ang Mayabang na Alitaptap
Pabula,Short,Katapatan,Ang Matapat na Kabayo at ang Palalo na Kambing
Pabula,Short,Matulungin,Ang Mapanlikhang Pagong at ang Mapang-aping Agila
Pabula,Short,Kabayanihan,Ang Maingat na Usa at ang Mapusok na Baboy Ramo
Pabula,Long,Pagkakaibigan,Ang Mahinahon na Kalabaw at ang Magagalitin na Kalapati
Pabula,Short,Kasipagan,Ang Masipag na Pagong at ang Tamad na Daga
Pabula,Short,Kabayanihan,Ang Maparaan na Pusa at ang Magarbo na Lawin
Pabula,Short,Pagkakaibigan,Ang Mapagkumbabang Gansa at ang Mapagmalaking Bibe
Pabula,Short,Matulungin,Ang Masayahing Bubuyog at ang Malungkot na Paru-Paro
Pabula,Short,Katapatan,Ang Matapat na Kalapati at ang Mapang-abusong Uwak
Pabula,Short,Kasipagan,Ang Mapagpakumbabang Usa at ang Hambog na Tigre
Pabula,Short,Matulungin,Ang Masipag na Langgam at ang Tamad na Tipaklong
Alamat,Short,Kabayanihan,Ang Alamat ng Mabait na Alitaptap
Alamat,Short,Pagkakaibigan,Ang Alamat ng Bahaghari
Alamat,Short,Katapatan,Ang Alamat ng Palaka
Alamat,Short,Kasipagan,Ang Alamat ng Sampaguita
Kwentong Bayan,Short,Kabayanihan,Si Juan at ang Dakilang Bato
Kwentong Bayan,Short,Matulungin,Ang Tatlong Magkakapatid
Kwentong Bayan,Short,Pagkakaibigan,Si Mang Isko at ang Kalabaw
Kwentong Bayan,Short,Katapatan,Si Juana at ang Balong Mahiwaga
Kwentong Bayan,Short,Kasipagan,Si Juan at ang Punong Mangga
Kwentong Bayan,Short,Matulungin,Si Maria at ang Palayok ng Ginto
Kwentong Bayan,Short,Kabayanihan,Ang Alitaptap at ang Tipaklong
Kwentong Bayan,Short,Pagkakaibigan,Si Lola Basyang at ang Kabayo
Kwentong Bayan,Short,Kabayanihan,Si Juan Tamad at ang Isang Libong Buto
Kwentong Bayan,Short,Pagkakaibigan,Si Mariang Makiling at ang Nawawalang Alahas
Kwentong Bayan,Long,Matulungin,Ang Kwento ni Pedro at ang Nawawalang Kabayo
Kwentong Bayan,Long,Katapatan,Si Tikboy at ang Mahiwagang Palasyo
Kwentong Bayan,Long,Kasipagan,Ang Matalinong Hatol ni Datu Ibarra
Kwentong Bayan,Long,Matulungin,Ang Mahiwagang Tikbalang ng Gubat
Kwentong Bayan,Long,Kabayanihan,Ang Nawawalang Kampanilya ng Baryo
Kwentong Bayan,Long,Pagkakaibigan,Si Andoy at ang Higanteng Bato
Kwentong Bayan,Long,Katapatan,Si Kaloy at ang Tatlong Bangkang Kahoy
Kwentong Bayan,Long,Kasipagan,Ang Mahiwagang Pagong ng Isla Verde
Kwentong Bayan,Long,Kabayanihan,Ang Alamat ng Matandang Kawayan
Kwentong Bayan,Long,Matulungin,Si Nita at ang Mahiwagang Punong Mangga
Kwentong Bayan,Long,Pagkakaibigan,Si Pedro at ang Mahiwagang Palasong Ginto
Kwentong Bayan,Long,Katapatan,Ang Tatlong Kahilingan ni Mila
Kwentong Bayan,Long,Kasipagan,Ang Masipag na Kalabaw
Kwentong Bayan,Long,Matulungin,Si Luningning at ang Diwata ng Bundok
Kwentong Bayan,Long,Kabayanihan,Ang Mahiwagang Banga
Kwentong Bayan,Long,Pagkakaibigan,Si Andoy at ang Higanteng Kabibe
Kwentong Bayan,Long,Katapatan,Ang Matalinong Usa
Kwentong Bayan,Long,Kasipagan,Si Karyo at ang Lumang Kampana
Kwentong Bayan,Long,Katapatan,Ang Lihim ng Araw at Buwan
Kwentong Bayan,Long,Kabayanihan,Ang Matapat na Alitaptap
Kwentong Bayan,Long,Matulungin,Ang Mahiwagang Gansa
Kwentong Bayan,Long,Pagkakaibigan,Ang Prinsipe at ang Mahiwagang Kalapati
Kwentong Bayan,Long,Kasipagan,Ang Batang Masipag sa Gubat
Kwentong Bayan,Long,Katapatan,Ang Matandang Punong Narra
Kwentong Bayan,Long,Matulungin,Ang Pagong at ang Matigas na Ulo
Kwentong Bayan,Long,Kabayanihan,Ang Mabait na Higante
Kwentong Bayan,Long,Pagkakaibigan,Ang Diwata ng Bundok Kanlaon
Kwentong Bayan,Long,Kasipagan,Si Pedro at ang Kalabasa
Kwentong Bayan,Long,Kabayanihan,Ang Matigas na Ulo ni Mang Kardo
Kwentong Bayan,Long,Pagkakaibigan,Ang Nawawalang Palayok na Ginto
Kwentong Bayan,Long,Matulungin,Ang Pag-aaway ng Araw at Buwan
Kwentong Bayan,Long,Katapatan,Si Mariang Sinukuan at ang Nawawalang Kayamanan
Pabula,Long,Kasipagan,Si Alon at ang Laging Bagyong Hangin
Kwentong Bayan,Long,Matulungin,Si Juan at ang Puno ng Kamatis
Pabula,Long,Kabayanihan,Si Bibo at ang Taong Mabait
Kwentong Bayan,Long,Pagkakaibigan,Si Juan at ang Pag-aalaga ng Kamote
Kwentong Bayan,Long,Katapatan,Si Lando at ang Malupit na Ulan
Pabula,Long,Kasipagan,Si Pagong at ang Agila
Kwentong Bayan,Long,Kabayanihan,Si Liza at ang Alamat ng Ilog
Kwentong Bayan,Long,Matulungin,Si Tomas at ang Swerte ng Puno ng Mangga
Kwentong Bayan,Long,Pagkakaibigan,Si Kiko at ang Pagtulong sa Bahay ng ibang Tao
Kwentong Bayan,Long,Katapatan,Si Andres at ang Puno ng Kasaysayan
Alamat,Short,Kasipagan,Ang Alamat ng Bayabas
Alamat,Short,Matulungin,Ang Alamat ng Sampalok
Alamat,Short,Kabayanihan,Ang Alamat ng Pakwan
Alamat,Short,Pagkakaibigan,Ang Alamat ng Papaya
Alamat,Short,Katapatan,Ang Alamat ng Durian
Alamat,Long,Kasipagan,Ang Alamat ng Mangga
Alamat,Short,Katapatan,Ang Alamat ng Santol
Alamat,Short,Kabayanihan,Ang Alamat ng Saging
Alamat,Short,Matulungin,Ang Alamat ng Pinya
Alamat,Short,Pagkakaibigan,Ang Alamat ng Pakwan
Alamat,Short,Kasipagan,Ang Alamat ng Kalabasa
Alamat,Short,Katapatan,Ang Alamat ng Mais
Alamat,Short,Matulungin,Ang Alamat ng Talong
Alamat,Short,Kabayanihan,Ang Alamat ng Langka
Alamat,Short,Pagkakaibigan,Ang Alamat ng Kamatis
Alamat,Short,Kasipagan,Ang Alamat ng Kakaw
Alamat,Short,Matulungin,Ang Alamat ng Saging
Alamat,Short,Kabayanihan,Ang Alamat ng Sampaguita
Alamat,Short,Pagkakaibigan,Ang Alamat ng Siling Labuyo
Alamat,Short,Kasipagan,Ang Alamat ng Palay
Alamat,Short,Kabayanihan,Ang Alamat ng Anahaw
Alamat,Short,Pagkakaibigan,Ang Alamat ng Yantok
Alamat,Short,Matulungin,Ang Alamat ng Makahiya
Alamat,Short,Katapatan,Ang Alamat ng Mangga
Alamat,Short,Kasipagan,Ang Alamat ng Puso ng Saging
Alamat,Short,Matulungin,Ang Alamat ng Dalampasigan
Alamat,Short,Kabayanihan,Ang Alamat ng Kangkong
Alamat,Short,Pagkakaibigan,Ang Alamat ng Bituin
Alamat,Short,Katapatan,Ang Alamat ng Kabibe
Alamat,Short,Kasipagan,Ang Alamat ng Bayabas
Alamat,Short,Kabayanihan,Ang Alamat ng Sampaguita
Alamat,Short,Matulungin,Ang Alamat ng Kawayan
Alamat,Short,Pagkakaibigan,Ang Alamat ng Bahaghari
Alamat,Short,Katapatan,Ang Alamat ng Mangga
Alamat,Short,Kasipagan,Ang Alamat ng Mayon
Alamat,Short,Matulungin,Ang Alamat ng Palay
Alamat,Short,Kabayanihan,Ang Alamat ng Puso ng Saging
Alamat,Short,Pagkakaibigan,Ang Alamat ng Tsokolate
Alamat,Short,Katapatan,Ang Alamat ng Pating
Alamat,Short,Matulungin,Ang Alamat ng Lawa ng Sampalok
Alamat,Short,Kabayanihan,Ang Alamat ng Ginto
Alamat,Short,Pagkakaibigan,Ang Alamat ng Pagong
Alamat,Long,Kasipagan,Ang Alamat ng Kabibe
Alamat,Short,Kabayanihan,Ang Alamat ng Bundok Makiling
Alamat,Long,Pagkakaibigan,Ang Alamat ng Bahaghari
Alamat,Short,Matulungin,Ang Alamat ng Uwak
Alamat,Long,Katapatan,Ang Alamat ng Buwan
Alamat,Short,Kasipagan,Ang Alamat ng Sampaguita
Alamat,Short,Matulungin,Ang Alamat ng Kawayan
Alamat,Long,Kabayanihan,Ang Alamat ng Talon
Alamat,Short,Pagkakaibigan,Ang Alamat ng Saging
Alamat,Short,Katapatan,Ang Alamat ng Gintong Palay
Pabula,Long,Kasipagan,Ang Maingat na Pagong at ang Padalos-dalos na Kuneho
Pabula,Long,Kabayanihan,Ang Matalinong Loro at ang Mapang-aping Matsing
Pabula,Short,Matulungin,Ang Mabait na Kambing at ang Sakim na Baboy
Pabula,Short,Pagkakaibigan,Ang Mapagmahal na Aso at ang Selosong Pusa
Pabula,Short,Katapatan,Ang Mapanlikhang Daga at ang Madaling Sumuko na Pusa
Pabula,Short,Kasipagan,Ang Masigasig na Gansa at ang Tuwang-tuwang Gato
Pabula,Short,Matulungin,Ang Mapagkalingang Baka at ang Mapanirang Kambing
Pabula,Short,Kabayanihan,Ang Palaka at ang Magarbo niyang Kuliglig
Pabula,Short,Pagkakaibigan,Ang Matalas na Soro at ang Mapagmataas na Pabo
Pabula,Short,Matulungin,Ang Masipag na Langgam at ang Tamad na Tipaklong
Pabula,Short,Katapatan,Ang Tusong Gansa at ang Walang Pag-aalalang Kalabaw
Pabula,Short,Kasipagan,Ang Mapagbigay na Usa at ang Makasariling Ardilya
Pabula,Short,Matulungin,Ang Maingat na Pagong at ang Mapusok na Aso
Pabula,Short,Kabayanihan,Ang Magkaibigang Kabayo at Kalapati
Pabula,Short,Pagkakaibigan,Ang Masipag na Maya at ang Tamad na Lawin
Pabula,Short,Katapatan,Ang Mapagbigay na Kuneho at ang Makasariling Loro
Pabula,Short,Kasipagan,Ang Matalinong Matsing at ang Hangal na Baboy
Pabula,Short,Kabayanihan,Ang Mapagmahal na Bibe at ang Pasaway na Gansa
Pabula,Short,Matulungin,Ang Masikap na Gagamba at ang Tamad na Alitaptap
Pabula,Short,Pagkakaibigan,Ang Mabait na Usa at ang Mapanlinlang na Ahas
Pabula,Short,Katapatan,Ang Mapagkumbabang Kalapati at ang Mapangmataas na Lawin
Pabula,Short,Kasipagan,Ang Tusong Matsing at ang Tamad na Pagong
Pabula,Long,Matulungin,Ang Matapat na Aso at ang Sakim na Pusa
Pabula,Short,Kabayanihan,Ang Mabagal na Pagong at ang Pilosopong Paru-Paro
Pabula,Short,Pagkakaibigan,Ang Masigasig na Langgam at ang Magarbong Tipaklong
Pabula,Short,Katapatan,Ang Tapat na Gansa at ang Tuso nitong Kaibigang Soro
Pabula,Short,Kasipagan,Ang Matapang na Dagang Bukid at ang Mayabang na Pusa
Pabula,Long,Katapatan,Ang Tatlong Baboy
Pabula,Long,Kabayanihan,Ang Matsing at ang Pagong
Pabula,Short,Matulungin,Ang Pato at ang Palaka
Pabula,Short,Pagkakaibigan,Ang Leon at ang Daga
Pabula,Short,Kasipagan,Ang Aso at ang Kalabaw
Pabula,Short,Katapatan,Ang Aso at ang Uwak
Pabula,Long,Matulungin,Ang Kuneho at ang Tigre
Pabula,Short,Kabayanihan,Ang Gansa at ang Palaka
Pabula,Short,Pagkakaibigan,Ang Alitaptap at ang Tipaklong
Pabula,Long,Kasipagan,Ang Matsing at ang Pagong
Pabula,Short,Kabayanihan,Ang Langgam at ang Tipaklong
Pabula,Short,Pagkakaibigan,Ang Pusa at ang Daga
Pabula,Short,Matulungin,Ang Bibe at ang Gansa
Pabula,Short,Katapatan,Ang Leon at ang Daga
Pabula,Short,Kasipagan,Ang Tuko at ang Alitaptap
Pabula,Short,Matulungin,Ang Gansa at ang Aso
Pabula,Short,Kabayanihan,Ang Palaka at ang Baka
Pabula,Short,Pagkakaibigan,Ang Matalinong Matsing
Kwentong Bayan,Long,Katapatan,Ang Bahaghari sa Itaas ng Bundok
Kwentong Bayan,Short,Kasipagan,Ang Lihim ng Makahiya
Alamat,Short,Kabayanihan,Ang Alamat ng Mahabang Gabi
Pabula,Long,Matulungin,Ang Dalawang Kaibigan sa Gubat
Kwentong Bayan,Short,Pagkakaibigan,Ang Tatlong Magkaibigan
Kwentong Bayan,Short,Katapatan,Si Mang Isko at ang Kuweba
Kwentong Bayan,Short,Kasipagan,Ang Nawawalang Gong
Kwentong Bayan,Short,Matulungin,Ang Sikreto ng Matandang Balon
Kwentong Bayan,Short,Kabayanihan,Ang Matalas na Pandayan
Kwentong Bayan,Short,Pagkakaibigan,Ang Araw ng Pasasalamat
Kwentong Bayan,Short,Katapatan,Ang Nawawalang Sandok
Kwentong Bayan,Short,Kasipagan,Ang Duyan sa Punong Acacia
Kwentong Bayan,Short,Katapatan,Ang Palasyo sa Ilalim ng Lawa
Kwentong Bayan,Short,Kabayanihan,Ang Pitong Palayok
Kwentong Bayan,Short,Matulungin,Ang Paglalakbay ni Anding
Kwentong Bayan,Short,Pagkakaibigan,Ang Aklat ng Kagubatan
Kwentong Bayan,Short,Kasipagan,Si Juan at ang Mahiwagang Banga
Kwentong Bayan,Short,Katapatan,Ang Nawawalang Kampana
Kwentong Bayan,Short,Matulungin,Ang Dalawang Panahon ng Bundok
Kwentong Bayan,Short,Kabayanihan,Ang Mahiyain na Higante
Kwentong Bayan,Short,Pagkakaibigan,Ang Alamat ng Kawayan
Kwentong Bayan,Short,Kasipagan,Ang Mahika ng Lumang Sapatos
Kwentong Bayan,Short,Matulungin,Ang Mahiwagang Alamat ng Bukal
Kwentong Bayan,Short,Kabayanihan,Ang Matalinong Siopao
Kwentong Bayan,Short,Pagkakaibigan,Ang Nawawalang Lantaka
Kwentong Bayan,Short,Kasipagan,Ang Palaka at ang Balon
Kwentong Bayan,Short,Kabayanihan,Ang Kuwento ng Bulaklak ng Yelo
Kwentong Bayan,Short,Pagkakaibigan,Ang Susi ng Kalikasan
Kwentong Bayan,Short,Matulungin,Ang Alingawngaw ng Kuweba
Kwentong Bayan,Short,Katapatan,Ang Gintong Kalabaw
Kwentong Bayan,Short,Kasipagan,Ang Matalinong Pagong
Kwentong Bayan,Short,Matulungin,Ang Lihim ng Lumang Gulong
Kwentong Bayan,Short,Kabayanihan,Ang Alitaptap at ang Dilim
Kwentong Bayan,Short,Pagkakaibigan,Ang Nawawalang Paru-Paro
Kwentong Bayan,Short,Katapatan,Ang Batang Mandirigma
Kwentong Bayan,Short,Kasipagan,Ang Puno ng mga Pangarap
Kwentong Bayan,Short,Kabayanihan,Ang Dalawang Magkaibang Daan
Kwentong Bayan,Short,Matulungin,Ang Misteryo ng Lumang Tulay
Kwentong Bayan,Short,Pagkakaibigan,Ang Mahusay na Bangkero
Kwentong Bayan,Short,Katapatan,Ang Palasyo sa Buhangin
Kwentong Bayan,Short,Kasipagan,Ang Alitaptap na Nawawala
Kwentong Bayan,Short,Matulungin,Ang Mahiwagang Banga
Kwentong Bayan,Short,Kabayanihan,Ang Dalaga sa Tabing-Dagat
Kwentong Bayan,Short,Pagkakaibigan,Ang Luntiang Punong Bahaghari
Kwentong Bayan,Short,Katapatan,Ang Lihim ng Bundok Karunungan
Kwentong Bayan,Short,Matulungin,Ang Nawawalang Kaldero
Kwentong Bayan,Short,Kabayanihan,Ang Nawawalang Kahon
Kwentong Bayan,Short,Pagkakaibigan,Ang Lihim ng Mahabang Tulay
Kwentong Bayan,Short,Kasipagan,Ang Manggagawang Masipag
Kwentong Bayan,Short,Kabayanihan,Ang Dalaga at ang Kuwintas
Kwentong Bayan,Short,Pagkakaibigan,Ang Matandang May Lihim
Kwentong Bayan,Short,Matulungin,Ang Kalabaw na Walang Gulong
Kwentong Bayan,Short,Katapatan,Ang Kabataang Matapang
Kwentong Bayan,Short,Kasipagan,Ang Pangarap ni Maria
Kwentong Bayan,Short,Matulungin,Ang Karpintero at ang Pader
Kwentong Bayan,Short,Kabayanihan,Ang Gintong Pako
Kwentong Bayan,Short,Pagkakaibigan,Ang Dalaga sa Sampung Banga
Kwentong Bayan,Short,Katapatan,Ang Pamilya ng Gilingan
Kwentong Bayan,Short,Kasipagan,Ang Mahiyain na Batang Guro
Kwentong Bayan,Short,Kabayanihan,Ang Palayok sa Lupa
Kwentong Bayan,Short,Matulungin,Ang Sulo ng Pag-asa
Kwentong Bayan,Short,Pagkakaibigan,Ang Gintong Pangako
Kwentong Bayan,Short,Katapatan,Ang Nawalang Kampana
Kwentong Bayan,Short,Kasipagan,Ang Alamat ng Sampung Daan
Kwentong Bayan,Short,Matulungin,Ang Lihim ng Lumang Balon
Kwentong Bayan,Short,Kabayanihan,Ang Pangarap ni Tomas
Kwentong Bayan,Short,Pagkakaibigan,Ang Mga Butong Naiinggit
Kwentong Bayan,Short,Kabayanihan,Ang Lumang Tambol
Kwentong Bayan,Short,Pagkakaibigan,Ang Sikreto ng Batong Bughaw
Kwentong Bayan,Long,Matulungin,Ang Puno ng Pag-asa
Kwentong Bayan,Short,Katapatan,Ang Dalawang Kapitbahay
Kwentong Bayan,Short,Kasipagan,Ang Kuwento ng Bakawan
Kwentong Bayan,Short,Matulungin,Ang Palasyo ng Hangin
Kwentong Bayan,Short,Kabayanihan,Ang Pista ng Pagtutulungan
Kwentong Bayan,Short,Pagkakaibigan,Ang Lihim ng Matandang Tulay
Kwentong Bayan,Short,Katapatan,Ang Nawawalang Banga
Kwentong Bayan,Short,Kasipagan,Ang Kuwento ng Maliit na Balon
Kwentong Bayan,Short,Kabayanihan,Ang Dakilang Halaman
Kwentong Bayan,Short,Matulungin,Ang Karera ng Kalabaw
Kwentong Bayan,Short,Pagkakaibigan,Ang Lumang Bahay sa Gulod
Kwentong Bayan,Short,Katapatan,Ang Alamat ng Bulaklak ng Pagkakaisa
Kwentong Bayan,Short,Kasipagan,Ang Bahay na Ginto
Kwentong Bayan,Short,Matulungin,Ang Lihim ng Talisay
Kwentong Bayan,Short,Kabayanihan,Ang Kariton ni Tatay Ben
Kwentong Bayan,Short,Pagkakaibigan,Ang Malaking Banga sa Plaza
Kwentong Bayan,Short,Katapatan,Ang Palaro ng Bayan
Kwentong Bayan,Short,Kasipagan,Ang Kuwento ng Mapagkalingang Aplaya
Kwentong Bayan,Short,Katapatan,Ang Bahay sa Dulo ng Baryo
Kwentong Bayan,Short,Kabayanihan,Ang Paligsahan sa Pagtatanim
Kwentong Bayan,Short,Matulungin,Ang Paglalakbay ni Lino
Kwentong Bayan,Short,Pagkakaibigan,Ang Kuwento ng Sampung Banga
Kwentong Bayan,Short,Kasipagan,Ang Puno ng Pag-asa
Kwentong Bayan,Short,Katapatan,Ang Kabalyero at ang Baryo
Kwentong Bayan,Short,Matulungin,Ang Nawawalang Kampana
Kwentong Bayan,Short,Kabayanihan,Ang Kuwento ng Tatlong Balon
Kwentong Bayan,Short,Pagkakaibigan,Ang Kahon ng Mga Alaala
Kwentong Bayan,Short,Kasipagan,Ang Kariton ni Mang Pilo
Kwentong Bayan,Short,Kabayanihan,Ang Mahabang Lakbay ni Andoy
Kwentong Bayan,Short,Pagkakaibigan,Ang Bakuran ng Ligaya
Kwentong Bayan,Short,Matulungin,Ang Piging ni Kapitana Sabel
Kwentong Bayan,Short,Katapatan,Ang Talisman ng Kabutihan
Kwentong Bayan,Short,Kasipagan,Ang Susi sa Lumang Bahay
Kwentong Bayan,Short,Matulungin,Ang Lihim ng Gintong Bukid
Kwentong Bayan,Short,Kabayanihan,Ang Pamana ng Matandang Panday
Kwentong Bayan,Short,Pagkakaibigan,Ang Pagtatayo ng Tanggulan
Kwentong Bayan,Short,Katapatan,Ang Tindahan ng Pangarap
Kwentong Bayan,Short,Kasipagan,Ang Biyaya ng Luntiang Gubat
Kwentong Bayan,Short,Kabayanihan,Ang Kuweba ng Pagkakaisa
Kwentong Bayan,Short,Matulungin,Ang Pagdiriwang sa Karagatan
Kwentong Bayan,Short,Pagkakaibigan,Ang Batong Nagdadala ng Swerte
Kwentong Bayan,Short,Katapatan,Ang Araw na Walang Gulo
Kwentong Bayan,Short,Kasipagan,Ang Tatlong Magkaibigan sa Gubat
Kwentong Bayan,Short,Matulungin,Si Ana at ang Nawawalang Palayok
Kwentong Bayan,Short,Kabayanihan,Ang Pangarap ni Pilo
Kwentong Bayan,Short,Pagkakaibigan,Si Tomas at ang Lihim ng Ilog
Kwentong Bayan,Short,Katapatan,Si Mila at ang Bahay na Sirain
Kwentong Bayan,Short,Kasipagan,Ang Paglalakbay ni Rico
Kwentong Bayan,Short,Katapatan,Si Dita at ang Nawawalang Parol
Kwentong Bayan,Short,Kabayanihan,Si Benjo at ang Lihim na Balon
Kwentong Bayan,Short,Matulungin,Ang Halamanan ni Tiya Bebang
Kwentong Bayan,Short,Pagkakaibigan,Si Carlo at ang Pista ng Araw
Kwentong Bayan,Short,Kasipagan,Si Elena at ang Lihim ng Duyan
Kwentong Bayan,Short,Katapatan,Ang Pagkakaibigan sa Tabi ng Batis
Kwentong Bayan,Short,Matulungin,Ang Pangarap ni Julio
Kwentong Bayan,Short,Kabayanihan,Si Clara at ang Lihim na Gusalì
Kwentong Bayan,Short,Pagkakaibigan,Si Pedro at ang Karera ng Bangka
Kwentong Bayan,Short,Kasipagan,Ang Kuweba ni Mila
Kwentong Bayan,Short,Matulungin,Ang Laro ng Mga Munting Bayani
Kwentong Bayan,Short,Kabayanihan,Si Rosa at ang Nawawalang Aklat
Alamat,Short,Pagkakaibigan,Ang Alamat ng Pandan
Alamat,Short,Kasipagan,Ang Alamat ng Suso
Alamat,Short,Kabayanihan,Ang Alamat ng Lawa ng Taal
Alamat,Short,Pagkakaibigan,Ang Alamat ng Pilak
Alamat,Short,Matulungin,Ang Alamat ng Bangus
Alamat,Short,Katapatan,Ang Alamat ng Sampaguita
Alamat,Short,Kasipagan,Ang Alamat ng Buko
Alamat,Short,Matulungin,Ang Alamat ng Pakwan
Alamat,Short,Kabayanihan,Ang Alamat ng Parol
Alamat,Short,Pagkakaibigan,Ang Alamat ng Bayabas
Alamat,Short,Katapatan,Ang Alamat ng Lansones
Alamat,Short,Kasipagan,Ang Alamat ng Bahagharing Ginto
Alamat,Short,Kabayanihan,Ang Alamat ng Pating
Alamat,Short,Matulungin,Ang Alamat ng Batubalani
Alamat,Short,Pagkakaibigan,Ang Alamat ng Liwanag sa Gabi
Alamat,Short,Katapatan,Ang Alamat ng Gintong Palay
Alamat,Short,Kasipagan,Ang Alamat ng Asul na Bulaklak
Alamat,Short,Matulungin,Ang Alamat ng Guhit sa Langit
Alamat,Short,Kabayanihan,Ang Alamat ng Kawayan
Alamat,Short,Pagkakaibigan,Ang Alamat ng Alon
Alamat,Short,Katapatan,Ang Alamat ng Pilak
Alamat,Short,Matulungin,Ang Alamat ng Buwaya
Alamat,Short,Kabayanihan,Ang Alamat ng Salamin
Alamat,Short,Pagkakaibigan,Ang Alamat ng Kalabaw
Alamat,Short,Kasipagan,Ang Alamat ng Maya
Alamat,Short,Kabayanihan,Ang Alamat ng Ahas
Alamat,Short,Pagkakaibigan,Ang Alamat ng Pagong
Alamat,Short,Matulungin,Ang Alamat ng Unggoy
Alamat,Short,Katapatan,Ang Alamat ng Langgam
Alamat,Long,Kasipagan,Ang Alamat ng Agila
Alamat,Long,Matulungin,Ang Alamat ng Usa
